customer_unique_id,recency_days,frequency,monetary,avg_order_value,tenure_days,avg_items_per_order,avg_installments,avg_review_score,pct_late_delivery,avg_freight_ratio,customer_state,distinct_categories,region,R,M,F,rfm_segment
0000366f3b9a7992bf8c76cfdf3221e2,161,1,141.9,141.9,161,1.0,8.0,5.0,0.0,0.08456659619450317,SP,1,Sudeste,4,4,1,New / Promising
0000b849f77a49e4a4ce2b2a4ca5be3f,164,1,27.189999999999998,27.189999999999998,164,1.0,1.0,4.0,0.0,0.3048915042294961,SP,1,Sudeste,4,1,1,New / Promising
0000f46a3911fa3c0805444483337064,586,1,86.22,86.22,586,1.0,8.0,3.0,0.0,0.19972164231036882,SC,1,Sul,1,2,1,Lost
0000f6ccb0745a6a4b88665a16c9f078,370,1,43.62,43.62,370,1.0,4.0,4.0,0.0,0.4041723979825768,PA,1,Norte,2,1,1,Hibernating
0004aac84e0df4da2b147fca70cf8255,337,1,196.89,196.89,337,1.0,6.0,5.0,0.0,0.08578394027121744,SP,1,Sudeste,2,4,1,Hibernating
0004bd2a26a76fe21f786e4fbd80607f,195,1,166.98,166.98,195,1.0,8.0,4.0,0.0,0.077733860342556,SP,1,Sudeste,4,4,1,New / Promising
00050ab1314c0e55a6ca13cf7181fecf,181,1,35.379999999999995,35.379999999999995,181,1.0,1.0,4.0,0.0,0.20887507066139063,SP,1,Sudeste,4,1,1,New / Promising
00053a61a98854899e70ed204dd4bafe,232,1,419.18,419.18,232,2.0,3.0,1.0,0.0,0.0886969798177394,PR,1,Sul,3,5,1,Potential Loyalist
0005e1862207bf6ccc02e4228effd9a0,592,1,150.12,150.12,592,1.0,3.0,4.0,0.0,0.10071942446043165,RJ,1,Sudeste,1,4,1,Lost
0005ef4cd20d2893f0d9fbd94d3c0d97,220,1,129.76,129.76,220,1.0,4.0,1.0,1.0,0.19158446362515413,MA,1,Nordeste,4,3,1,New / Promising
0006fdc98a402fceb4eb0ee528f6a8d4,457,1,29.0,29.0,457,1.0,2.0,3.0,0.0,0.5206896551724138,ES,1,Sudeste,1,1,1,Lost
